Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
t-HCOOH	Formic Acid	161.41292960, 161.41292960	24(2,22)-25(0,25)	-7.11860		234.0259	336.7091	CDMS
t-HCOOH	Formic Acid	162.34379200, 162.34379200	18(5,14)-19(4,15)	-6.00710		178.2095	256.4022	CDMS
t-HCOOH	Formic Acid	162.59845200, 162.59845200	7(1,6)-6(1,5)	-3.60660		18.5092	26.6305	CDMS
t-HCOOH	Formic Acid	163.96155170, 163.96155170	18(5,13)-19(4,16)	-5.99880		178.1566	256.3261	CDMS
t-HCOOH	Formic Acid	166.26388670, 166.26388670	13(1,12)-13(0,13)	-5.32470		66.9680	96.3515	CDMS
t-HCOOH	Formic Acid	166.33695710, 166.33695710	13(2,11)-13(1,12)	-5.17040		72.5140	104.3309	CDMS
t-HCOOH	Formic Acid	166.39927760, 166.39927760	12(2,10)-12(1,11)	-5.19390		62.5258	89.9602	CDMS
t-HCOOH	Formic Acid	166.58654130, 166.58654130	5(1,5)-4(0,4)	-5.56860		7.4803	10.7624	CDMS
t-HCOOH	Formic Acid	166.95680090, 166.95680090	12(4,9)-13(3,10)	-5.99440		88.3321	127.0895	CDMS
t-HCOOH	Formic Acid	167.61310720, 167.61310720	14(2,12)-14(1,13)	-5.14800		83.2475	119.7739	CDMS
t-HCOOH	Formic Acid	167.62773270, 167.62773270	11(2,9)-11(1,10)	-5.21960		53.2885	76.6698	CDMS
t-HCOOH	Formic Acid	167.70435260, 167.70435260	14(1,13)-14(1,14)	-5.35840		77.6535	111.7254	CDMS
t-HCOOH	Formic Acid	169.66109830, 169.66109830	21(2,19)-21(2,20)	-5.27620		180.5359	259.7494	CDMS
t-HCOOH	Formic Acid	169.74098890, 169.74098890	12(4,8)-13(3,11)	-5.98100		88.2407	126.9580	CDMS
t-HCOOH	Formic Acid	169.82890010, 169.82890010	10(2,8)-10(1,9)	-5.24860		44.8066	64.4663	CDMS
t-HCOOH	Formic Acid	170.37963150, 170.37963150	15(2,13)-15(1,14)	-5.12590		94.7205	136.2809	CDMS
t-HCOOH	Formic Acid	171.02353620, 171.02353620	6(3,4)-7(2,5)	-6.22960		29.9399	43.0766	CDMS
t-HCOOH	Formic Acid	172.63573000, 172.63573000	8(1,8)-7(1,7)	-3.50290		22.4051	32.2358	CDMS
t-HCOOH	Formic Acid	172.79042850, 172.79042850	9(2,7)-9(1,8)	-5.28220		37.0844	53.3559	CDMS
t-HCOOH	Formic Acid	174.76998050, 174.76998050	16(2,14)-16(1,15)	-5.10370		106.9265	153.8425	CDMS
t-HCOOH	Formic Acid	174.83031220, 174.83031220	6(3,3)-7(2,6)	-6.21360		29.8139	42.8953	CDMS
t-HCOOH	Formic Acid	174.85794980, 174.85794980	29(3,26)-29(3,27)	-5.42830		346.2919	498.2339	CDMS
t-HCOOH	Formic Acid	175.80791580, 175.80791580	3(2,1)-4(0,4)	-7.59830		7.4803	10.7624	CDMS
t-HCOOH	Formic Acid	176.28665100, 176.28665100	8(2,6)-8(1,7)	-5.32200		30.1255	43.3436	CDMS
t-HCOOH	Formic Acid	177.28280130, 177.28280130	8(0,8)-7(0,7)	-3.47080		20.8606	30.0136	CDMS
t-HCOOH	Formic Acid	179.13441880, 179.13441880	21(4,17)-22(2,20)	-6.66150		203.1832	292.3336	CDMS
