#Species	Ordered Freq (GHz) (rest frame)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2CS	205.9425235	6(5,1)-5(5,0)	-3.6686		244.4197	351.6634	JPL
H2CS	205.9425235	6(5,1)-5(5,0)	-3.6686		244.4197	351.6634	JPL
H2CS	205.9873911	6(0,6)-5(0,5)	-3.1573	0.151	17.1836	24.7232	JPL
H2CS	206.0018797	6(4,3)-5(4,2)	-3.7164		163.0797	234.634	JPL
H2CS	206.00188	6(4,2)-5(4,1)	-3.7164		163.0797	234.634	JPL
H2CS	206.0519426	6(3,4)-5(3,3)	-2.9762		99.4549	143.0926	JPL
H2CS	206.0522403	6(3,3)-5(3,2)	-2.9762		99.4549	143.0926	JPL
H2CS	206.0535835	6(2,5)-5(2,4)	-3.2845		53.8143	77.4263	JPL
H2CS	206.158016	6(2,4)-5(2,3)	-3.2841		53.8178	77.4314	JPL
SO3&Sigma;v=0	206.176005	4(5)-3(4)	-2.568	9	19.9341	28.6806	JPL
H2CS	209.2001012	6(1,5)-5(1,4)	-2.6987		26.6147	38.2924	JPL
H2CO	211.211468	3(1,3)-2(1,2)	-2.3877		15.2369	21.9224	CDMS
SO3&Sigma;v=0	214.357039	7(8)-7(7)	-3.9036	0.24	49.3181	70.9573	JPL
SO3&Sigma;v=0	215.220653	5(5)-4(4)	-2.4348	3	23.4748	33.7748	JPL
H2CO	215.9761636	11(2,9)-12(0,12)	-5.5745		187.2133	269.3566	CDMS
DCO+v=0	216.1125822	J=3-2	-1.111	2.5	7.2089	10.3719	CDMS
CCD	216.3728371	N=3-2,J=7/2-5/2,F=9/2-7/2	-3.143		7.217	10.3837	CDMS
H2CO	216.568651	9(1,8)-9(1,9)	-3.6678		113.705	163.5952	CDMS
H2S	216.7104365	2(2,0)-2(1,1)	-3.0171		51.1402	73.5798	CDMS
DCNv=0	217.2386307	J=3-2,F=2-2	-1.7046	0.7	7.2464	10.4259	JPL
H2CO	218.222192	3(0,3)-2(0,2)	-2.769		7.2864	10.4834	CDMS
H2CO	218.475632	3(2,2)-2(2,1)	-3.0914		40.0402	57.6086	CDMS
H2CO	218.760066	3(2,1)-2(2,0)	-3.0903		40.0426	57.612	CDMS
H2CS	218.8025328	20(1,19)-20(1,20)	-4.8889		245.8423	353.7102	JPL
C18O	219.5603541	2-1	-4.1794	3.5	3.6619	5.2686	CDMS
C15N	219.93482	N=2-1,J=5/2-3/2,F=3-2	-2.397	0.6	3.6707	5.2813	CDMS
SO3&Sigma;v=0	219.949442	6(5)-5(4)	-2.3094	4.3	16.979	24.4289	JPL
13COv=0	220.3986842	2-1	-4.1749	17	3.6759	5.2888	CDMS
CH3CNv=0	220.7090165	12(3)-11(3)	-2.0007		85.1873	122.5663	JPL
CH3CNv=0	220.7302607	12(2)-11(2)	-2.2341		60.3634	86.85	JPL
CH3CNv=0	220.7430106	12(1)-11(1)	-2.1939		45.4669	65.4172	JPL
CH3CNv=0	220.7472612	12(0)-11(0)	-2.1804		40.501	58.2723	JPL
C17O	224.714187	J=2-1,F=5/2-5/2	-4.628	1.5	3.7479	5.3924	CDMS
H2CO	225.697775	3(1,2)-2(1,1)	-2.3315		15.7202	22.6177	CDMS
CNv=0	226.8747813	N=2-1,J=5/2-3/2,F=7/2-5/2	-2.4751	 8.0b	3.7857	5.4467	CDMS
H2S	228.55627	4(3,2)-5(0,5)	-6.0139		166.3435	239.3327	CDMS
COv=0	230.538	2-1	-4.1197	70	3.845	5.5321	CDMS
13CSv=0	231.2206852	5-4	-1.6401	0.7	15.4261	22.1946	CDMS
N2D+	231.3218283	J=3-2	-1.3554	0.17	7.7162	11.1018	CDMS
SO3&Sigma;v=0	236.4523254	1(2)-2(1)	-4.9233	0.4	3.0999	4.46	JPL
H2CS	236.72677	7(1,7)-6(1,6)	-2.5351	1.1	32.8599	47.2778	JPL
H2CS	240.261381	7(5,2)-6(5,1)	-3.2783		251.2892	361.547	JPL
H2CS	240.261381	7(5,2)-6(5,1)	-3.2783		251.2892	361.547	JPL
H2CS	240.26632	7(0,7)-6(0,6)	-2.9722	0.55	24.0546	34.609	JPL
H2CS	240.33143	7(4,3)-6(4,2)	-3.4475	 0.07b	169.9512	244.5205	JPL
H2CS	240.33143	7(4,3)-6(4,2)	-3.4475	 0.07b	169.9512	244.5205	JPL
H2CS	240.38175	7(2,6)-6(2,5)	-3.085	0.16	60.6875	87.3153	JPL
H2CS	240.3923621	7(3,5)-6(3,4)	-2.7541	 0.38b	106.328	152.9814	JPL
H2CS	240.3930319	7(3,4)-6(3,3)	-2.7541	  b	106.328	152.9814	JPL
H2CS	240.5120019	21(1,20)-21(1,21)	-4.8765		269.4799	387.7192	JPL
H2CS	240.5482286	7(2,5)-6(2,4)	-3.0845	0.16	60.6945	87.3253	JPL
C34Sv=0	241.0160892	5-4	-1.5876	0.83	16.0796	16.2094	CDMS
CH3OHvt=0-2	241.700159	5(0)-4(0)E1vt=0	-3.8411		25.254	36.3347	JPL
CH3OHvt=0-2	241.767234	5(-1)-4(-1)E2vt=0	-3.8472		20.009	28.7883	JPL
CH3OHvt=0-2	241.791352	5(0)+-4(0)+vt=0	-3.8215		16.134	23.2131	JPL
H2CS	244.04784	7(1,6)-6(1,5)	-2.5104	0.91	33.5928	48.3323	JPL
CSv=0	244.9355565	5-4	-1.5672	5.5	16.3411	23.5111	CDMS
SO3&Sigma;v=0	246.4046867	2(3)-3(2)	-4.8749	 9.0f	6.4122	9.2257	JPL
         c-C3H2	251.314367	 7 1 7       6 0 6	-2.7077			26.8337	CDMS
         c-C3H2	251.314367	 7 0 7       6 1 6	-2.2306			26.8337	CDMS
         c-C3H2	251.5087085	 6 1 5       5 2 4	-2.8659			24.6168	CDMS
         c-C3H2	251.527311	 6 2 5       5 1 4	-2.3887			24.6162	CDMS
SO3&Sigma;v=0	251.82577	5(6)-4(5)	-2.3033	3.3	26.8114	38.5754	JPL
SO3&Sigma;v=0	254.5735004	8(9)-8(8)	-3.847	0.39	60.803	87.4815	JPL
HC15Nv=0	258.1571	3-2	-1.1161	5.2	8.6114	12.3898	JPL
SO3&Sigma;v=0	258.255813	6(6)-5(5)	-2.2082	4	30.6538	44.1037	JPL
H2CO	258.2960664	10(2,8)-11(0,11)	-5.4339		158.6885	228.316	CDMS
H13CNv=0	259.0117976	J=3-2	-1.1415		8.6399	12.431	CDMS
H13CO+	260.255339	3-2	-0.8736	0.95	8.6814	12.4905	CDMS
SO3&Sigma;v=0	261.843684	7(6)-6(5)	-2.1069	4.2	24.3157	34.9847	JPL
CCHv=0	262.0042266	N=3-2,J=7/2-5/2,F=4-3	-2.7339	3.5	8.7402	12.5751	JPL
H2CS	263.2083174	22(1,21)-22(1,22)	-4.8693		294.2374	423.3396	JPL
HC3Nv=0	263.792308	J=29-28	-1.1319	0.6	123.2011	177.2579	CDMS
H2CO	264.2701291	10(1,9)-10(1,10)	-3.5865		137.1002	197.2555	CDMS
