# member.uid___A001_X133d_X19a3.GM_Aur_sci.spw35.cube.I.pbcor.fits, region=
# beam size: 1.7830495657080387 arcsec2, 55.03239400298232 pixels
# Total flux: 
# Channel number_of_unmasked_pixels Frequency_(GHz) Velocity_(km/s) Sum_(Jy/beam)
333 2207 89.178200 34.708643 -0.201647
334 2207 89.178261 34.503394 0.223226
335 2207 89.178322 34.298145 0.174281
336 2207 89.178383 34.092896 -0.688730
337 2207 89.178444 33.887647 -0.810194
338 2207 89.178505 33.682398 0.460322
339 2207 89.178567 33.477149 0.425603
340 2207 89.178628 33.271900 0.049176
341 2207 89.178689 33.066651 0.463870
342 2207 89.178750 32.861402 -0.689769
343 2207 89.178811 32.656153 -0.523850
344 2207 89.178872 32.450904 -0.150424
345 2207 89.178933 32.245655 -0.562673
346 2207 89.178994 32.040406 -0.509803
347 2207 89.179055 31.835157 -0.756971
348 2207 89.179116 31.629908 0.751967
349 2207 89.179177 31.424659 0.265931
350 2207 89.179238 31.219410 0.238562
351 2207 89.179299 31.014161 1.229257
352 2207 89.179360 30.808912 -0.038834
353 2207 89.179421 30.603663 0.343485
354 2207 89.179482 30.398414 0.151560
355 2207 89.179544 30.193165 -0.190465
356 2207 89.179605 29.987916 0.087737
357 2207 89.179666 29.782667 -0.974985
358 2207 89.179727 29.577418 -0.369544
359 2207 89.179788 29.372169 0.130815
360 2207 89.179849 29.166920 0.089295
361 2207 89.179910 28.961671 0.548799
362 2207 89.179971 28.756422 -0.106272
363 2207 89.180032 28.551173 -1.294936
364 2207 89.180093 28.345924 -0.627065
365 2207 89.180154 28.140675 -0.115222
366 2207 89.180215 27.935426 -0.571226
367 2207 89.180276 27.730177 0.069903
368 2207 89.180337 27.524928 1.195351
369 2207 89.180398 27.319679 1.018833
370 2207 89.180459 27.114430 -0.143708
371 2207 89.180520 26.909181 -0.528230
372 2207 89.180582 26.703932 -0.011860
373 2207 89.180643 26.498683 0.530001
374 2207 89.180704 26.293434 0.707836
375 2207 89.180765 26.088185 0.665779
376 2207 89.180826 25.882936 0.834399
377 2207 89.180887 25.677687 0.229107
378 2207 89.180948 25.472438 0.617532
379 2207 89.181009 25.267189 -0.531539
380 2207 89.181070 25.061940 0.307059
381 2207 89.181131 24.856691 0.760047
382 2207 89.181192 24.651442 0.663766
383 2207 89.181253 24.446193 0.089255
384 2207 89.181314 24.240944 0.194888
385 2207 89.181375 24.035695 0.518651
386 2207 89.181436 23.830446 0.564737
387 2207 89.181497 23.625197 0.578373
388 2207 89.181559 23.419948 -1.050909
389 2207 89.181620 23.214699 -1.294790
390 2207 89.181681 23.009450 -0.985593
391 2207 89.181742 22.804201 -0.841734
392 2207 89.181803 22.598952 -0.182243
393 2207 89.181864 22.393703 0.695599
394 2207 89.181925 22.188454 0.504807
395 2207 89.181986 21.983205 0.236676
396 2207 89.182047 21.777956 -1.120570
397 2207 89.182108 21.572707 -0.195616
398 2207 89.182169 21.367458 0.190612
399 2207 89.182230 21.162209 0.179479
400 2207 89.182291 20.956960 -0.086926
401 2207 89.182352 20.751711 0.233542
402 2207 89.182413 20.546462 -0.015400
403 2207 89.182474 20.341213 -0.448549
404 2207 89.182536 20.135964 -0.486171
405 2207 89.182597 19.930715 0.046371
406 2207 89.182658 19.725466 -0.529554
407 2207 89.182719 19.520217 -0.976323
408 2207 89.182780 19.314968 0.162820
409 2207 89.182841 19.109719 -0.365220
410 2207 89.182902 18.904470 0.454665
411 2207 89.182963 18.699221 0.949404
412 2207 89.183024 18.493972 1.437424
413 2207 89.183085 18.288723 1.134195
414 2207 89.183146 18.083475 0.429883
415 2207 89.183207 17.878226 -0.162994
416 2207 89.183268 17.672977 0.688032
417 2207 89.183329 17.467728 0.816434
418 2207 89.183390 17.262479 -0.054631
419 2207 89.183451 17.057230 -0.812325
420 2207 89.183513 16.851981 0.171322
421 2207 89.183574 16.646732 0.582063
422 2207 89.183635 16.441483 -0.115476
423 2207 89.183696 16.236234 0.389470
424 2207 89.183757 16.030985 0.785258
425 2207 89.183818 15.825736 0.173607
426 2207 89.183879 15.620487 -0.627418
427 2207 89.183940 15.415238 -0.543907
428 2207 89.184001 15.209989 0.608669
429 2207 89.184062 15.004740 0.222234
430 2207 89.184123 14.799491 -0.010958
431 2207 89.184184 14.594242 0.281961
432 2207 89.184245 14.388993 -0.479476
433 2207 89.184306 14.183744 0.339182
434 2207 89.184367 13.978495 -1.072815
435 2207 89.184428 13.773246 -0.037760
436 2207 89.184490 13.567997 -0.768542
437 2207 89.184551 13.362748 -0.931069
438 2207 89.184612 13.157499 -0.228842
439 2207 89.184673 12.952250 0.083835
440 2207 89.184734 12.747001 0.000583
441 2207 89.184795 12.541752 -0.124798
442 2207 89.184856 12.336503 -0.522427
